Date,Year,Pass,Site,FishNo,Species,Length,Weight,ScaleAge
10/7/13,2013,1,L01,3,RB,256,207,1
10/16/13,2013,3,L22,12,RB,361,511,3
10/11/13,2013,2,L09,6,RB,233,NA,1
10/8/13,2013,1,L22,5,RB,251,176,1
10/12/13,2013,2,L23,9,RB,231,136,1
10/16/13,2013,3,L22,22,RB,211,97,1
10/17/13,2013,0,L31,12,RB,224,132,1
10/18/13,2013,0,L36,4,RB,357,555,2
10/16/13,2013,3,L22,15,RB,228,145,1
10/20/13,2013,4,L11,7,RB,339,464,2
10/17/13,2013,0,L46,3,RB,376,584,3
10/11/13,2013,2,L05,4,RB,305,NA,2
10/17/13,2013,0,L42,2,RB,305,356,2
10/18/13,2013,0,L41,1,RB,356,465,3
10/20/13,2013,4,L14,1,RB,332,396,3
10/8/13,2013,1,L22,9,RB,260,204,1
10/16/13,2013,3,L23,15,RB,138,28,0
10/20/13,2013,4,L27,4,RB,236,141,1
10/8/13,2013,1,L10,3,RB,402,726,3
10/11/13,2013,2,L13,1,RB,357,NA,2
10/24/13,2013,5,L15,5,RB,437,949,4
10/17/13,2013,0,L38,11,RB,213,108,1
10/11/13,2013,2,L09,4,RB,251,NA,1
10/16/13,2013,3,L07,7,RB,247,191,1
10/7/13,2013,1,L01,1,RB,367,547,3
10/11/13,2013,2,L21,7,RB,227,NA,1
10/18/13,2013,0,L37,11,RB,208,101,1
10/12/13,2013,2,L23,13,RB,234,119,1
10/23/13,2013,5,L28,3,RB,265,211,1
10/8/13,2013,1,L03,1,RB,260,201,1
10/12/13,2013,2,L19,7,RB,227,150,1
10/17/13,2013,0,L31,14,RB,238,163,1
10/7/13,2013,1,L01,5,RB,270,248,1
10/11/13,2013,2,L25,5,RB,262,NA,1
10/12/13,2013,2,L14,4,RB,316,373,2
10/11/13,2013,2,L16,7,RB,240,NA,1
10/8/13,2013,1,L23,6,RB,182,65,1
10/19/13,2013,4,L08,3,RB,342,489,2
10/20/13,2013,4,L27,3,RB,255,195,1
10/15/13,2013,3,L01,2,RB,228,110,1
10/11/13,2013,2,L12,7,RB,236,NA,1
10/11/13,2013,2,L25,3,RB,235,NA,1
10/17/13,2013,0,L43,1,RB,220,107,1
10/11/13,2013,2,L20,8,RB,235,NA,1
10/18/13,2013,0,L52,3,RB,354,561,2
10/17/13,2013,0,L34,11,RB,228,146,1
10/15/13,2013,3,L16,4,RB,284,317,2
10/12/13,2013,2,L10,11,RB,370,495,3
10/12/13,2013,2,L07,5,RB,305,331,2
10/7/13,2013,1,L21,4,RB,221,147,1
10/17/13,2013,0,L34,21,RB,224,128,1
10/17/13,2013,0,L31,9,RB,273,145,1
10/12/13,2013,2,L14,3,RB,355,491,2
10/8/13,2013,1,L06,2,RB,343,467,2
10/19/13,2013,4,L20,6,RB,218,121,1
10/18/13,2013,0,L48,1,RB,396,726,3
10/18/13,2013,0,L36,11,RB,229,176,1
10/15/13,2013,3,L13,2,RB,280,277,2
10/17/13,2013,0,L34,3,RB,365,545,3
10/12/13,2013,2,L07,3,RB,255,204,1
10/18/13,2013,0,L36,13,RB,190,121,1
10/17/13,2013,0,L35,4,RB,234,122,1
10/18/13,2013,0,L48,3,RB,223,129,1
10/18/13,2013,0,L49,17,RB,308,381,2
10/7/13,2013,1,L16,9,RB,240,163,1
10/11/13,2013,2,L09,7,RB,234,NA,1
10/12/13,2013,2,L23,4,RB,346,420,2
10/20/13,2013,4,L27,1,RB,367,433,3
10/12/13,2013,2,L10,7,RB,265,222,1
10/8/13,2013,1,L26,3,RB,364,527,2
10/15/13,2013,3,L09,4,RB,368,621,3
10/15/13,2013,3,L28,2,RB,337,397,2
10/12/13,2013,2,L15,6,RB,248,183,1
10/11/13,2013,2,L08,6,RB,381,NA,2
10/18/13,2013,0,L36,12,RB,210,145,1
10/7/13,2013,1,L08,1,RB,313,345,2
10/8/13,2013,1,L10,9,RB,251,199,1
10/24/13,2013,5,L22,9,RB,247,181,1
10/16/13,2013,3,L23,11,RB,299,259,2
10/17/13,2013,0,L38,6,RB,233,157,1
10/11/13,2013,2,L05,2,RB,242,NA,1
10/24/13,2013,5,L27,7,RB,199,88,1
10/15/13,2013,3,L28,9,RB,228,137,1
10/19/13,2013,4,L12,1,RB,253,196,1
10/17/13,2013,0,L51,3,RB,257,234,1
10/17/13,2013,0,L51,8,RB,277,259,2
10/24/13,2013,5,L22,11,RB,145,36,0
10/23/13,2013,5,L17,2,RB,336,422,2
10/11/13,2013,2,L24,3,RB,228,NA,1
10/8/13,2013,1,L19,17,RB,133,36,0
10/19/13,2013,4,L16,4,RB,404,706,3
10/12/13,2013,2,L11,5,RB,223,152,1
10/8/13,2013,1,L15,2,RB,220,119,1
10/12/13,2013,2,L10,9,RB,241,159,3
10/17/13,2013,0,L35,3,RB,316,360,2
10/15/13,2013,3,L16,7,RB,242,181,1
10/7/13,2013,1,L09,1,RB,222,146,1
10/16/13,2013,3,L19,4,RB,213,98,1
10/12/13,2013,2,L22,19,RB,218,112,1
10/17/13,2013,0,L31,4,RB,361,565,3
10/19/13,2013,4,L04,4,RB,249,177,1
10/17/13,2013,0,L46,6,RB,364,293,3
10/7/13,2013,1,L24,1,RB,242,179,1
10/12/13,2013,2,L15,8,RB,251,219,1
10/11/13,2013,2,L21,8,RB,230,NA,1
10/12/13,2013,2,L10,5,RB,256,198,1
10/12/13,2013,2,L27,7,RB,286,287,2
10/8/13,2013,1,L15,6,RB,236,164,1
10/17/13,2013,0,L50,10,RB,327,399,2
10/11/13,2013,2,L21,5,RB,220,NA,1
10/12/13,2013,2,L10,8,RB,367,510,3
10/8/13,2013,1,L19,4,RB,323,429,2
10/15/13,2013,3,L20,6,RB,232,173,1
10/8/13,2013,1,L02,10,RB,109,14,0
10/16/13,2013,3,L23,6,RB,322,381,2
10/11/13,2013,2,L12,12,RB,246,NA,1
10/18/13,2013,0,L52,9,RB,246,177,3
10/11/13,2013,2,L12,10,RB,251,NA,1
10/18/13,2013,0,L52,10,RB,281,272,2
10/17/13,2013,0,L51,6,RB,119,20,0
10/18/13,2013,0,L45,6,RB,212,117,1
10/24/13,2013,5,L27,4,RB,314,367,2
10/18/13,2013,0,L49,15,RB,353,505,2
10/8/13,2013,1,L03,2,RB,244,172,1
10/11/13,2013,2,L12,2,RB,250,NA,1
10/18/13,2013,0,L44,2,RB,211,141,1
10/7/13,2013,1,L01,7,RB,248,173,1
10/23/13,2013,5,L28,1,RB,317,384,2
10/23/13,2013,5,L21,1,RB,227,133,1
10/20/13,2013,4,L22,13,RB,270,245,1
10/11/13,2013,2,L20,11,RB,236,NA,1
10/7/13,2013,1,L13,3,RB,249,187,1
10/8/13,2013,1,L10,5,RB,302,371,2
10/15/13,2013,3,L21,8,RB,213,97,1
10/8/13,2013,1,L22,2,RB,427,811,3
10/19/13,2013,4,L20,7,RB,93,12,0
10/20/13,2013,4,L02,1,RB,391,661,4
10/7/13,2013,1,L20,2,RB,233,139,1
10/18/13,2013,0,L45,2,RB,399,721,5
10/7/13,2013,1,L01,10,RB,252,181,1
10/18/13,2013,0,L52,4,RB,376,697,3
10/18/13,2013,0,L37,3,RB,365,578,2
10/12/13,2013,2,L15,7,RB,261,215,1
10/16/13,2013,3,L22,21,RB,214,123,1
10/24/13,2013,5,L22,10,RB,222,124,1
10/7/13,2013,1,L05,5,RB,242,185,1
10/7/13,2013,1,L20,6,RB,264,223,1
10/17/13,2013,0,L31,11,RB,220,133,1
10/8/13,2013,1,L10,2,RB,245,197,1
10/12/13,2013,2,L23,8,RB,221,115,1
10/8/13,2013,1,L07,7,RB,230,143,1
10/19/13,2013,4,L21,5,RB,225,156,1
10/11/13,2013,2,L20,4,RB,396,NA,4
10/17/13,2013,0,L38,5,RB,239,157,1
10/16/13,2013,3,L11,9,RB,252,162,1
10/18/13,2013,0,L37,1,RB,347,377,3
10/17/13,2013,0,L34,24,RB,216,133,1
10/16/13,2013,3,L07,8,RB,233,141,1
10/20/13,2013,4,L19,7,RB,246,173,1
10/12/13,2013,2,L02,7,RB,255,174,1
10/24/13,2013,5,L10,1,RB,256,195,1
10/19/13,2013,4,L13,3,RB,425,807,4
10/11/13,2013,2,L09,3,RB,245,NA,1
10/24/13,2013,5,L10,3,RB,233,143,1
10/24/13,2013,5,L22,6,RB,336,451,2
10/11/13,2013,2,L01,8,RB,250,198,1
10/12/13,2013,2,L15,9,RB,244,180,3
10/7/13,2013,1,L13,5,RB,254,225,1
10/12/13,2013,2,L02,6,RB,209,124,1
10/24/13,2013,5,L11,12,RB,222,136,1
10/18/13,2013,0,L33,15,RB,192,70,1
10/23/13,2013,5,L12,7,RB,257,171,1
10/11/13,2013,2,L01,4,RB,377,587,3
10/8/13,2013,1,L27,2,RB,334,453,2
10/23/13,2013,5,L12,6,RB,231,142,1
10/7/13,2013,1,L28,3,RB,230,147,1
10/19/13,2013,4,L21,9,RB,94,10,0
10/18/13,2013,0,L37,10,RB,190,76,1
10/17/13,2013,0,L34,19,RB,137,26,0
10/8/13,2013,1,L19,19,RB,103,13,0
10/12/13,2013,2,L22,13,RB,432,863,6
10/15/13,2013,3,L24,2,RB,357,474,3
10/8/13,2013,1,L02,8,RB,261,199,1
10/12/13,2013,2,L19,12,RB,127,16,0
10/17/13,2013,0,L35,1,RB,202,100,1
10/8/13,2013,1,L22,21,RB,219,127,1
10/8/13,2013,1,L27,12,RB,240,179,1
10/18/13,2013,0,L37,8,RB,222,125,1
10/17/13,2013,0,L34,13,RB,261,220,1
10/8/13,2013,1,L27,1,RB,304,347,2
10/12/13,2013,2,L11,16,RB,237,175,1
10/12/13,2013,2,L22,7,RB,438,847,4
10/7/13,2013,1,L01,8,RB,235,147,1
10/24/13,2013,5,L06,2,RB,242,177,1
10/16/13,2013,3,L22,19,RB,228,129,1
10/19/13,2013,4,L09,4,RB,241,181,1
10/23/13,2013,5,L16,7,RB,228,148,1
10/17/13,2013,0,L34,14,RB,249,203,1
10/7/13,2013,1,L08,5,RB,392,668,3
10/18/13,2013,0,L49,8,RB,355,542,2
10/16/13,2013,3,L14,4,RB,243,180,1
10/8/13,2013,1,L19,13,RB,264,212,1
10/8/13,2013,1,L02,1,RB,213,115,1
10/11/13,2013,2,L16,11,RB,224,NA,1
10/12/13,2013,2,L27,8,RB,263,221,1
10/7/13,2013,1,L13,4,RB,220,125,1
10/11/13,2013,2,L28,3,RB,342,NA,2
10/12/13,2013,2,L06,6,RB,110,16,0
10/18/13,2013,0,L49,18,RB,283,337,2
10/8/13,2013,1,L22,1,RB,347,435,3
10/23/13,2013,5,L17,3,RB,241,154,3
10/16/13,2013,3,L22,4,RB,272,255,1
10/7/13,2013,1,L20,1,RB,223,142,1
10/7/13,2013,1,L12,5,RB,258,223,1
10/24/13,2013,5,L11,9,RB,355,543,2
10/12/13,2013,2,L22,18,RB,238,144,1
10/20/13,2013,4,L07,4,RB,243,199,1
10/16/13,2013,3,L11,2,RB,343,471,3
10/20/13,2013,4,L15,3,RB,399,697,3
10/7/13,2013,1,L12,1,RB,247,171,1
10/17/13,2013,0,L38,2,RB,234,147,1
10/11/13,2013,2,L20,12,RB,233,NA,1
10/8/13,2013,1,L02,6,RB,225,157,1
10/8/13,2013,1,L11,2,RB,241,166,1
10/8/13,2013,1,L19,3,RB,258,233,1
10/8/13,2013,1,L19,9,RB,240,166,1
10/16/13,2013,3,L27,9,RB,219,126,1
10/8/13,2013,1,L19,11,RB,243,205,1
10/24/13,2013,5,L02,2,RB,397,731,3
10/8/13,2013,1,L22,17,RB,227,156,1
10/8/13,2013,1,L27,15,RB,208,111,1
10/18/13,2013,0,L48,8,RB,101,12,0
10/7/13,2013,1,L16,8,RB,200,106,1
10/8/13,2013,1,L26,1,RB,405,725,4
10/23/13,2013,5,L25,4,RB,253,190,1
10/16/13,2013,3,L23,10,RB,185,57,0
10/16/13,2013,3,L10,6,RB,249,185,1
10/24/13,2013,5,L02,6,RB,264,221,1
10/17/13,2013,0,L34,18,RB,104,16,0
10/8/13,2013,1,L27,14,RB,366,598,2
10/8/13,2013,1,L27,11,RB,210,111,1
10/11/13,2013,2,L20,7,RB,311,NA,2
10/8/13,2013,1,L23,9,RB,242,156,1
10/16/13,2013,3,L19,3,RB,250,193,1
10/12/13,2013,2,L10,4,RB,254,187,1
10/15/13,2013,3,L17,1,RB,240,151,1
10/12/13,2013,2,L07,4,RB,313,359,2
10/17/13,2013,0,L31,3,RB,396,711,3
10/8/13,2013,1,L02,2,RB,213,106,1
10/12/13,2013,2,L22,16,RB,200,79,1
10/23/13,2013,5,L12,3,RB,339,441,2
10/24/13,2013,5,L27,6,RB,198,78,1
10/17/13,2013,0,L38,9,RB,361,509,3
10/11/13,2013,2,L09,2,RB,299,NA,2
10/15/13,2013,3,L20,8,RB,260,194,1
10/11/13,2013,2,L12,13,RB,237,NA,1
10/16/13,2013,3,L23,5,RB,373,509,3
10/16/13,2013,3,L11,4,RB,386,504,3
10/17/13,2013,0,L34,22,RB,219,117,1
10/16/13,2013,3,L22,5,RB,313,342,2
10/12/13,2013,2,L15,15,RB,236,177,1
10/19/13,2013,4,L28,1,RB,408,970,4
10/7/13,2013,1,L16,7,RB,251,185,1
10/12/13,2013,2,L06,1,RB,246,153,1
10/20/13,2013,4,L19,6,RB,238,155,1
10/12/13,2013,2,L15,14,RB,227,146,1
10/8/13,2013,1,L07,5,RB,364,460,3
10/17/13,2013,0,L34,9,RB,222,130,1
10/16/13,2013,3,L07,5,RB,373,657,4
10/8/13,2013,1,L27,8,RB,298,305,2
10/12/13,2013,2,L27,9,RB,243,168,1
10/23/13,2013,5,L21,3,RB,385,717,4
10/20/13,2013,4,L22,15,RB,229,NA,1
10/17/13,2013,0,L31,5,RB,372,561,3
10/24/13,2013,5,L11,13,RB,217,119,1
10/16/13,2013,3,L10,5,RB,281,258,1
10/11/13,2013,2,L28,11,RB,281,NA,2
10/18/13,2013,0,L45,4,RB,238,175,1
10/16/13,2013,3,L27,8,RB,219,127,1
10/23/13,2013,5,L12,4,RB,354,498,3
10/18/13,2013,0,L49,11,RB,378,621,3
10/17/13,2013,0,L38,10,RB,212,116,1
10/7/13,2013,1,L12,6,RB,255,204,1
10/18/13,2013,0,L33,4,RB,355,452,2
10/8/13,2013,1,L27,16,RB,242,181,3
10/8/13,2013,1,L19,1,RB,383,654,3
10/17/13,2013,0,L31,8,RB,234,170,1
10/12/13,2013,2,L15,12,RB,219,113,1
10/11/13,2013,2,L24,1,RB,241,NA,1
10/20/13,2013,4,L14,3,RB,213,106,1
10/7/13,2013,1,L25,1,RB,360,525,3
10/20/13,2013,4,L27,2,RB,196,92,1
10/18/13,2013,0,L52,1,RB,395,756,3
10/20/13,2013,4,L22,9,RB,246,171,1
10/17/13,2013,0,L38,1,RB,225,224,1
10/24/13,2013,5,L15,6,RB,368,543,3
10/15/13,2013,3,L21,9,RB,232,154,1
10/12/13,2013,2,L02,2,RB,357,547,3
10/8/13,2013,1,L26,6,RB,265,221,1
10/20/13,2013,4,L22,10,RB,257,188,1
10/18/13,2013,0,L49,3,RB,346,560,3
10/8/13,2013,1,L11,6,RB,303,315,2
10/12/13,2013,2,L02,4,RB,400,627,4
10/15/13,2013,3,L16,10,RB,210,119,1
10/19/13,2013,4,L21,4,RB,314,357,2
10/18/13,2013,0,L52,7,RB,365,633,3
10/16/13,2013,3,L15,2,RB,258,171,1
10/12/13,2013,2,L22,21,RB,285,229,1
10/8/13,2013,1,L23,4,RB,322,357,2
10/18/13,2013,0,L33,8,RB,294,299,2
10/11/13,2013,2,L09,5,RB,221,NA,1
10/17/13,2013,0,L51,5,RB,137,34,0
10/20/13,2013,4,L22,7,RB,380,596,2
10/7/13,2013,1,L04,1,RB,242,165,1
10/24/13,2013,5,L02,7,RB,243,161,1
10/12/13,2013,2,L23,3,RB,386,667,3
10/18/13,2013,0,L36,8,RB,213,159,1
10/16/13,2013,3,L02,5,RB,230,172,1
10/8/13,2013,1,L26,5,RB,249,195,1
10/20/13,2013,4,L19,5,RB,234,161,1
10/8/13,2013,1,L23,1,RB,205,107,1
10/8/13,2013,1,L14,2,RB,253,183,1
10/23/13,2013,5,L16,6,RB,216,132,1
10/19/13,2013,4,L08,2,RB,357,504,2
10/17/13,2013,0,L34,8,RB,411,867,6
10/18/13,2013,0,L33,3,RB,366,505,3
10/7/13,2013,1,L05,2,RB,365,579,3
10/8/13,2013,1,L06,4,RB,268,232,1
10/16/13,2013,3,L10,3,RB,258,213,1
10/11/13,2013,2,L20,2,RB,389,NA,4
10/7/13,2013,1,L12,2,RB,232,148,1
10/15/13,2013,3,L21,4,RB,221,139,1
10/11/13,2013,2,L01,7,RB,345,479,3
10/16/13,2013,3,L11,7,RB,243,179,NA
10/8/13,2013,1,L11,4,RB,322,440,2
10/18/13,2013,0,L48,9,RB,106,14,0
10/12/13,2013,2,L23,2,RB,310,328,2
10/23/13,2013,5,L20,5,RB,252,190,1
10/15/13,2013,3,L08,9,RB,258,211,1
10/24/13,2013,5,L11,11,RB,230,140,1
10/17/13,2013,0,L34,10,RB,245,183,1
10/7/13,2013,1,L20,8,RB,257,189,1
10/12/13,2013,2,L19,5,RB,360,501,2
10/17/13,2013,0,L38,3,RB,206,104,1
10/8/13,2013,1,L23,10,RB,121,26,0
10/12/13,2013,2,L11,9,RB,243,183,1
10/12/13,2013,2,L06,3,RB,266,219,1
10/12/13,2013,2,L11,14,RB,250,210,1
10/18/13,2013,0,L37,12,RB,97,11,0
10/23/13,2013,5,L16,4,RB,241,185,1
10/12/13,2013,2,L11,12,RB,257,220,1
10/11/13,2013,2,L16,13,RB,137,NA,0
10/16/13,2013,3,L11,3,RB,334,433,2
10/11/13,2013,2,L20,9,RB,280,NA,2
10/16/13,2013,3,L11,8,RB,222,127,1
10/18/13,2013,0,L37,5,RB,301,306,2
10/8/13,2013,1,L15,5,RB,228,141,1
10/16/13,2013,3,L22,17,RB,229,117,1
10/8/13,2013,1,L11,7,RB,236,151,1
10/8/13,2013,1,L27,10,RB,216,129,1
10/8/13,2013,1,L11,1,RB,232,161,1
10/16/13,2013,3,L22,16,RB,221,101,1
10/17/13,2013,0,L42,1,RB,326,460,2
10/11/13,2013,2,L12,8,RB,262,NA,1
10/16/13,2013,3,L22,18,RB,211,97,1
10/12/13,2013,2,L22,22,RB,260,212,1
10/15/13,2013,3,L21,10,RB,154,39,0
10/11/13,2013,2,L21,4,RB,217,NA,1
10/7/13,2013,1,L01,6,RB,249,191,1
10/15/13,2013,3,L25,2,RB,223,126,1
10/18/13,2013,0,L49,13,RB,357,599,2
10/20/13,2013,4,L02,2,RB,343,465,2
10/7/13,2013,1,L21,3,RB,221,115,1
10/23/13,2013,5,L21,6,RB,207,95,1
10/23/13,2013,5,L28,5,RB,228,145,1
10/7/13,2013,1,L20,3,RB,247,173,1
10/11/13,2013,2,L08,5,RB,238,NA,1
10/7/13,2013,1,L01,4,RB,238,179,1
10/15/13,2013,3,L28,4,RB,374,605,3
10/24/13,2013,5,L27,5,RB,257,222,1
10/12/13,2013,2,L22,15,RB,350,479,2
10/8/13,2013,1,L27,4,RB,227,153,1
10/24/13,2013,5,L23,1,RB,314,393,2
10/17/13,2013,0,L31,10,RB,287,273,2
10/20/13,2013,4,L07,3,RB,268,239,1
10/17/13,2013,0,L47,1,RB,304,325,2
10/18/13,2013,0,L37,4,RB,304,336,2
10/12/13,2013,2,L19,10,RB,255,204,1
10/18/13,2013,0,L48,2,RB,326,451,2
10/18/13,2013,0,L36,9,RB,216,151,1
10/8/13,2013,1,L19,7,RB,234,167,NA
10/16/13,2013,3,L06,1,RB,251,161,1
10/11/13,2013,2,L12,11,RB,366,NA,3
10/17/13,2013,0,L35,6,RB,346,421,3
10/16/13,2013,3,L27,5,RB,234,139,1
10/16/13,2013,3,L23,8,RB,270,235,1
10/17/13,2013,0,L34,6,RB,223,124,1
10/7/13,2013,1,L28,2,RB,270,216,1
10/15/13,2013,3,L13,3,RB,392,590,3
10/8/13,2013,1,L19,16,RB,183,79,1
10/12/13,2013,2,L15,10,RB,249,175,1
10/8/13,2013,1,L18,1,RB,371,605,4
10/16/13,2013,3,L11,6,RB,246,161,1
10/15/13,2013,3,L28,7,RB,249,159,1
10/17/13,2013,0,L38,7,RB,217,147,1
10/23/13,2013,5,L16,5,RB,239,174,1
10/23/13,2013,5,L25,5,RB,333,397,2
10/12/13,2013,2,L27,10,RB,242,154,1
10/18/13,2013,0,L44,1,RB,241,165,1
10/8/13,2013,1,L19,6,RB,282,288,1
10/12/13,2013,2,L15,4,RB,382,704,3
10/16/13,2013,3,L07,6,RB,273,229,1
10/16/13,2013,3,L22,7,RB,382,515,4
10/8/13,2013,1,L07,3,RB,220,135,1
10/18/13,2013,0,L33,2,RB,386,795,4
10/11/13,2013,2,L08,2,RB,351,NA,2
10/11/13,2013,2,L25,7,RB,217,NA,1
10/15/13,2013,3,L09,5,RB,312,365,2
10/24/13,2013,5,L07,4,RB,265,244,1
10/7/13,2013,1,L16,1,RB,357,451,2
10/15/13,2013,3,L12,9,RB,368,562,3
10/17/13,2013,0,L34,16,RB,215,127,1
10/8/13,2013,1,L14,3,RB,211,139,1
10/17/13,2013,0,L31,7,RB,188,91,1
10/12/13,2013,2,L19,13,RB,109,10,0
10/18/13,2013,0,L49,10,RB,278,282,1
10/15/13,2013,3,L28,3,RB,334,394,2
10/23/13,2013,5,L21,5,RB,226,134,1
10/23/13,2013,5,L21,8,RB,250,177,1
10/16/13,2013,3,L18,1,RB,288,284,2
10/16/13,2013,3,L07,9,RB,196,67,1
10/15/13,2013,3,L08,7,RB,341,425,2
10/8/13,2013,1,L19,2,RB,403,713,4
10/16/13,2013,3,L27,4,RB,366,421,3
10/8/13,2013,1,L22,16,RB,180,80,1
10/18/13,2013,0,L52,12,RB,124,27,0
10/24/13,2013,5,L15,7,RB,292,303,2
10/24/13,2013,5,L02,8,RB,156,41,1
10/7/13,2013,1,L21,5,RB,238,170,1
10/15/13,2013,3,L09,6,RB,113,13,0
10/19/13,2013,4,L20,5,RB,228,131,1
10/11/13,2013,2,L25,6,RB,255,NA,1
10/8/13,2013,1,L18,2,RB,255,210,1
10/24/13,2013,5,L22,5,RB,373,677,3
10/8/13,2013,1,L26,7,RB,201,105,1
10/17/13,2013,0,L35,9,RB,206,84,1
10/17/13,2013,0,L50,12,RB,420,815,4
10/20/13,2013,4,L22,8,RB,304,307,4
10/8/13,2013,1,L19,5,RB,288,302,2
10/19/13,2013,4,L04,3,RB,350,403,2
10/17/13,2013,0,L35,5,RB,222,134,1
10/16/13,2013,3,L19,6,RB,238,142,1
10/7/13,2013,1,L20,9,RB,233,158,1
10/24/13,2013,5,L02,5,RB,323,389,2
10/17/13,2013,0,L50,6,RB,377,714,3
10/17/13,2013,0,L50,7,RB,194,90,1
10/20/13,2013,4,L19,4,RB,257,228,1
10/15/13,2013,3,L20,7,RB,243,151,1
10/16/13,2013,3,L22,9,RB,326,372,2
10/15/13,2013,3,L16,8,RB,246,175,1
10/17/13,2013,0,L50,9,RB,266,250,1
10/18/13,2013,0,L33,14,RB,250,169,1
10/17/13,2013,0,L51,4,RB,393,655,3
10/12/13,2013,2,L11,13,RB,297,292,1
10/12/13,2013,2,L27,12,RB,250,187,1
10/16/13,2013,3,L23,14,RB,202,83,1
10/7/13,2013,1,L05,1,RB,380,534,5
10/7/13,2013,1,L16,6,RB,394,755,4
10/7/13,2013,1,L20,7,RB,374,507,3
10/7/13,2013,1,L21,1,RB,437,1094,6
10/8/13,2013,1,L07,10,CT,225,151,NA
10/8/13,2013,1,L10,1,RB,331,417,4
10/8/13,2013,1,L19,8,RB,265,210,1
10/8/13,2013,1,L19,15,RB,257,191,1
10/8/13,2013,1,L22,10,RB,388,647,4
10/11/13,2013,2,L01,2,RB,237,167,1
10/11/13,2013,2,L12,4,RB,381,NA,3
10/11/13,2013,2,L16,9,RB,404,NA,4
10/11/13,2013,2,L25,8,RB,326,NA,2
10/12/13,2013,2,L10,1,RB,384,595,4
10/12/13,2013,2,L19,8,RB,206,103,1
10/15/13,2013,3,L08,10,RB,393,685,4
10/15/13,2013,3,L16,5,RB,333,437,2
10/15/13,2013,3,L20,5,RB,416,667,7
10/17/13,2013,0,L50,5,RB,364,526,3
10/20/13,2013,4,L10,3,RB,380,531,3
10/20/13,2013,4,L23,3,RB,294,272,2
10/23/13,2013,5,L09,3,RB,342,490,3
10/23/13,2013,5,L28,4,RB,317,409,2
10/12/13,2013,2,L23,14,RB,193,85,1
10/20/13,2013,4,L19,8,RB,157,41,0
10/12/13,2013,2,L22,14,RB,181,63,1
10/12/13,2013,2,L23,15,SMB,207,149,NA
10/15/13,2013,3,L05,3,SMB,216,167,NA
10/8/13,2013,1,L02,12,SMB,219,167,NA
10/11/13,2013,2,L05,5,SMB,220,NA,NA
10/15/13,2013,3,L04,3,SMB,232,175,NA
10/8/13,2013,1,L06,6,SMB,241,236,NA
10/7/13,2013,1,L05,6,SMB,243,214,NA
10/7/13,2013,1,L05,7,SMB,244,254,NA
10/12/13,2013,2,L02,8,SMB,245,248,NA
10/8/13,2013,1,L02,15,SMB,246,284,NA
10/12/13,2013,2,L15,13,RBH,249,190,NA
10/15/13,2013,3,L05,2,SMB,252,269,NA
10/16/13,2013,3,L06,2,SMB,258,270,NA
10/8/13,2013,1,L02,14,SMB,261,316,NA
10/8/13,2013,1,L02,16,SMB,263,317,NA
10/8/13,2013,1,L02,13,SMB,268,311,NA
10/23/13,2013,5,L01,1,CT,269,248,NA
10/12/13,2013,2,L22,6,CT,270,233,NA
10/8/13,2013,1,L06,7,SMB,271,334,NA
10/7/13,2013,1,L01,13,CT,273,251,NA
10/11/13,2013,2,L24,2,CT,273,NA,NA
10/19/13,2013,4,L04,5,CT,302,333,NA
10/11/13,2013,2,L08,8,CT,320,NA,NA
10/12/13,2013,2,L02,3,RBH,323,358,NA
10/15/13,2013,3,L01,3,RBH,324,401,NA
10/19/13,2013,4,L05,2,RBH,325,445,NA
10/19/13,2013,4,L08,5,CT,329,373,NA
10/12/13,2013,2,L06,2,RBH,333,431,NA
10/7/13,2013,1,L01,12,RBH,337,432,NA
10/16/13,2013,3,L11,10,CT,350,458,NA
10/8/13,2013,1,L02,17,SMB,366,909,NA
10/17/13,2013,0,L47,3,BT,452,976,NA
10/7/13,2013,1,L04,3,SMB,470,1946,NA
10/17/13,2013,0,L47,2,BT,570,2123,NA
10/17/13,2013,0,L47,4,BT,594,1830,NA
10/19/13,2013,4,L20,8,BT,599,1993,NA
