Date ,Time,Calispell Cr Temp C),Smalle Cr Temp C),Winchester Cr Temp (C)
1/1/13,1:43:31 AM,0.61,0.69,0.5
1/1/13,1:43:31 PM,0.99,0.8,0.27
1/1/13,10:13:31 AM,0.61,0.47,0.19
1/1/13,10:13:31 PM,0.77,0.52,0.33
1/1/13,10:43:31 AM,0.66,0.5,0.19
1/1/13,10:43:31 PM,0.77,0.52,0.33
1/1/13,11:13:31 AM,0.72,0.55,0.22
1/1/13,11:13:31 PM,0.77,0.5,0.33
1/1/13,11:43:31 AM,0.8,0.58,0.22
1/1/13,11:43:31 PM,0.74,0.5,0.3
1/1/13,12:13:31 AM,0.66,0.72,0.55
1/1/13,12:13:31 PM,0.85,0.63,0.22
1/1/13,12:43:31 AM,0.63,0.69,0.55
1/1/13,12:43:31 PM,0.91,0.69,0.25
1/1/13,2:13:31 AM,0.61,0.66,0.5
1/1/13,2:13:31 PM,1.02,0.83,0.27
1/1/13,2:43:31 AM,0.58,0.66,0.47
1/1/13,2:43:31 PM,1.04,0.88,0.27
1/1/13,3:13:31 AM,0.55,0.63,0.44
1/1/13,3:13:31 PM,1.07,0.88,0.3
1/1/13,3:43:31 AM,0.5,0.63,0.41
1/1/13,3:43:31 PM,1.07,0.88,0.33
1/1/13,4:13:31 AM,0.47,0.61,0.38
1/1/13,4:13:31 PM,1.04,0.88,0.33
1/1/13,4:43:31 AM,0.44,0.61,0.38
1/1/13,4:43:31 PM,1.04,0.85,0.36
1/1/13,5:13:31 AM,0.41,0.58,0.36
1/1/13,5:13:31 PM,0.99,0.8,0.36
1/1/13,5:43:31 AM,0.41,0.58,0.33
1/1/13,5:43:31 PM,0.96,0.77,0.38
1/1/13,6:13:31 AM,0.44,0.55,0.33
1/1/13,6:13:31 PM,0.91,0.72,0.38
1/1/13,6:43:31 AM,0.44,0.55,0.3
1/1/13,6:43:31 PM,0.88,0.69,0.38
1/1/13,7:13:31 AM,0.47,0.52,0.27
1/1/13,7:13:31 PM,0.85,0.66,0.38
1/1/13,7:43:31 AM,0.47,0.5,0.27
1/1/13,7:43:31 PM,0.85,0.63,0.38
1/1/13,8:13:31 AM,0.5,0.5,0.25
1/1/13,8:13:31 PM,0.83,0.61,0.38
1/1/13,8:43:31 AM,0.5,0.47,0.22
1/1/13,8:43:31 PM,0.83,0.58,0.36
1/1/13,9:13:31 AM,0.52,0.47,0.22
1/1/13,9:13:31 PM,0.8,0.58,0.36
1/1/13,9:43:31 AM,0.55,0.47,0.22
1/1/13,9:43:31 PM,0.8,0.55,0.36
1/10/09,1:11:23 AM,1.96,0.71,0.22
1/10/09,1:11:23 PM,2.12,0.85,0.11
1/10/09,10:11:23 AM,1.8,0.71,0.09
1/10/09,10:11:23 PM,1.32,1.04,0.16
1/10/09,11:11:23 AM,1.96,0.76,0.09
1/10/09,11:11:23 PM,1.32,1.02,0.19
1/10/09,12:11:23 AM,1.96,0.72,0.22
1/10/09,12:11:23 PM,1.96,0.79,0.09
1/10/09,2:11:23 AM,1.96,0.7,0.19
1/10/09,2:11:23 PM,2.12,0.92,0.11
1/10/09,3:11:23 AM,1.96,0.68,0.17
1/10/09,3:11:23 PM,2.12,1.04,0.11
1/10/09,4:11:23 AM,1.8,0.68,0.12
1/10/09,4:11:23 PM,1.96,1.15,0.13
1/10/09,5:11:23 AM,1.8,0.67,0.09
1/10/09,5:11:23 PM,1.96,1.19,0.14
1/10/09,6:11:23 AM,1.8,0.66,0.09
1/10/09,6:11:23 PM,1.8,1.18,0.15
1/10/09,7:11:23 AM,1.8,0.65,0.09
1/10/09,7:11:23 PM,1.8,1.17,0.18
1/10/09,8:11:23 AM,1.8,0.67,0.08
1/10/09,8:11:23 PM,1.64,1.16,0.19
1/10/09,9:11:23 AM,1.8,0.69,0.08
1/10/09,9:11:23 PM,1.48,1.1,0.16
1/10/10,1:01:00 AM,NA,NA,NA
1/10/10,1:01:00 PM,NA,NA,NA
1/10/10,10:01:00 AM,NA,NA,NA
1/10/10,10:01:00 PM,NA,NA,NA
1/10/10,11:01:00 AM,NA,NA,NA
1/10/10,11:01:00 PM,NA,NA,NA
1/10/10,12:01:00 AM,NA,NA,NA
1/10/10,12:01:00 PM,NA,NA,NA
1/10/10,2:01:00 AM,NA,NA,NA
1/10/10,2:01:00 PM,NA,NA,NA
1/10/10,3:01:00 AM,NA,NA,NA
1/10/10,3:01:00 PM,NA,NA,NA
1/10/10,4:01:00 AM,NA,NA,NA
1/10/10,4:01:00 PM,NA,NA,NA
1/10/10,5:01:00 AM,NA,NA,NA
1/10/10,5:01:00 PM,NA,NA,NA
1/10/10,6:01:00 AM,NA,NA,NA
1/10/10,6:01:00 PM,NA,NA,NA
